citation,pmid
Yasuda H. Regulation of cell cycle by cdc2 kinase in mammalian cells. Seikagaku. 1992 Jan;64(1):1–13.,1535095
"Thompson LH. Recognition, signaling, and repair of DNA double-strand breaks produced by ionizing radiation in mammalian cells: the molecular choreography. Mutat Res. 2012;751(2):158–246.",22743550
"Gonfloni S, Maiani E, Di Bartolomeo C, Diederich M, Cesareni G. Oxidative Stress, DNA Damage, and c-Abl Signaling: At the Crossroad in Neurodegenerative Diseases? Int J Cell Biol. 2012;2012:683097.",22761618
"Maugeri-Saccà M, Bartucci M, De Maria R. DNA damage repair pathways in cancer stem cells. Mol Cancer Ther. 2012 Aug;11(8):1627–36.",22844074
"Ando K, Kernan JL, Liu PH, Sanda T, Logette E, Tschopp J, et al. PIDD death-domain phosphorylation by ATM controls prodeath versus prosurvival PIDDosome signaling. Mol Cell. 2012 Sep 14;47(5):681–93.",22854598
"Mirzayans R, Andrais B, Scott A, Murray D. New insights into p53 signaling and cancer cell response to DNA damage: implications for cancer therapy. J Biomed Biotechnol. 2012;2012:170325.",22911014
"McCoy F, Eckard L, Nutt LK. Janus-faced PIDD: a sensor for DNA damage-induced cell death or survival? Mol Cell. 2012 Sep 14;47(5):667–8.",22980457
"Sedukhina A, Fukuda T, Ohta T. BRCA1 and DNA damage response. Seikagaku. 2012 Jul;84(7):529–38.",22991823
"Shadfan M, Lopez-Pajares V, Yuan Z-M. MDM2 and MDMX: Alone and together in regulation of p53. Transl Cancer Res. 2012 Aug;1(2):88–9.",23002429
"Nowsheen S, Yang ES. The intersection between DNA damage response and cell death pathways. Exp Oncol. 2012 Oct;34(3):243–54.",23070009
"Hu W, Feng Z, Levine AJ. The Regulation of Multiple p53 Stress Responses is Mediated through MDM2. Genes Cancer. 2012 Mar;3(3–4):199–208.",23150753
"Biderman L, Manley JL, Prives C. Mdm2 and MdmX as Regulators of Gene Expression. Genes Cancer. 2012 Mar;3(3–4):264–73.",23150759
"Caestecker KW, Van de Walle GR. The role of BRCA1 in DNA double-strand repair: past and present. Exp Cell Res. 2013 Mar 10;319(5):575–87.",23200932
"Lehman JA, Mayo LD. Integration of DNA damage and repair with murine double-minute 2 (Mdm2) in tumorigenesis. Int J Mol Sci. 2012 Dec 3;13(12):16373–86.",23208375
"Bock FJ, Krumschnabel G, Manzl C, Peintner L, Tanzer MC, Hermann-Kleiter N, et al. Loss of PIDD limits NF-κB activation and cytokine production but not cell survival or transformation after DNA damage. Cell Death Differ. 2013 Apr;20(4):546–57.",23238565
Marinoglou K. The role of the DNA damage response kinase ataxia telangiectasia mutated in neuroprotection. Yale J Biol Med. 2012 Dec;85(4):469–80.,23239948
"Muller PAJ, Vousden KH. p53 mutations in cancer. Nat Cell Biol. 2013 Jan;15(1):2–8.",23263379
"Qian Y, Chen X. Senescence regulation by the p53 protein family. Methods Mol Biol. 2013;965:37–61.",23296650
"Wade M, Li Y-C, Wahl GM. MDM2, MDMX and p53 in oncogenesis and cancer therapy. Nat Rev Cancer. 2013 Feb;13(2):83–96.",23303139
"Thomasova D, Mulay SR, Bruns H, Anders H-J. p53-independent roles of MDM2 in NF-κB signaling: implications for cancer therapy, wound healing, and autoimmune diseases. Neoplasia. 2012 Dec;14(12):1097–101.",23308042
Zhang J. The role of BRCA1 in homologous recombination repair in response to replication stress: significance in tumorigenesis and cancer therapy. Cell Biosci. 2013 Feb 6;3(1):11.,23388117
"Rufini A, Tucci P, Celardo I, Melino G. Senescence and aging: the critical roles of p53. Oncogene. 2013 Oct 24;32(43):5129–43.",23416979
"McCubrey JA, Demidenko ZN. Recent discoveries in the cycling, growing and aging of the p53 field. Aging (Albany NY). 2012 Dec;4(12):887–93.",23425920
"Oluwagbemiga LA, Oluwole A, Kayode AA. Seventeen years after BRCA1: what is the BRCA mutation status of the breast cancer patients in Africa? - a systematic review. Springerplus. 2012 Dec;1(1):83.",23519070
"Pinder JB, Attwood KM, Dellaire G. Reading, writing, and repair: the role of ubiquitin and the ubiquitin-like proteins in DNA damage signaling and repair. Front Genet. 2013 Apr 1;4:45.",23554604
"Ma Z, Lin M, Li K, Fu Y, Liu X, Yang D, et al. Knocking down SMC1A inhibits growth and leads to G2/M arrest in human glioma cells. Int J Clin Exp Pathol. 2013 Apr 15;6(5):862–9.",23638217
"Shahbazi J, Lock R, Liu T. Tumor Protein 53-Induced Nuclear Protein 1 Enhances p53 Function and Represses Tumorigenesis. Front Genet. 2013 May 13;4:80.",23717325
"Goodarzi AA, Jeggo PA. The repair and signaling responses to DNA double-strand breaks. Adv Genet. 2013;82:1–45.",23721719
"Filippini SE, Vega A. Breast cancer genes: beyond BRCA1 and BRCA2. Front Biosci (Landmark Ed). 2013 Jun 1;18:1358–72.",23747889
"Vasileva A, Hopkins KM, Wang X, Weisbach MM, Friedman RA, Wolgemuth DJ, et al. The DNA damage checkpoint protein RAD9A is essential for male meiosis in the mouse. J Cell Sci. 2013 Sep 1;126(Pt 17):3927–38.",23788429
Rosen EM. BRCA1 in the DNA damage response and at telomeres. Front Genet. 2013 Jun 21;4:85.,23802008
"Aksenova VI, Bylino OV, Zhivotovskiĭ BD, Lavrik IN. Caspase-2: what do we know today? Mol Biol (Mosk). 2013;47(2):187–204.",23808152
